step,timestamp,forecasted_consumption_kwh
1,2024-04-30 00:00:00,101.55649537423253
2,2024-04-30 01:00:00,102.80981836807727
3,2024-04-30 02:00:00,104.24970715048909
4,2024-04-30 03:00:00,108.2671535526216
5,2024-04-30 04:00:00,110.54694146311282
6,2024-04-30 05:00:00,112.87869658631085
7,2024-04-30 06:00:00,117.43339381605385
8,2024-04-30 07:00:00,124.30486986172198
9,2024-04-30 08:00:00,126.89559896087646
10,2024-04-30 09:00:00,132.3318694566488
11,2024-04-30 10:00:00,135.87968065685033
12,2024-04-30 11:00:00,138.00212951916455
13,2024-04-30 12:00:00,139.09116299575567
14,2024-04-30 13:00:00,139.53285293883084
15,2024-04-30 14:00:00,139.53374191063642
16,2024-04-30 15:00:00,137.60853725224732
17,2024-04-30 16:00:00,135.50035495358705
18,2024-04-30 17:00:00,133.57061223751305
19,2024-04-30 18:00:00,127.20243044722079
20,2024-04-30 19:00:00,124.8483578302264
21,2024-04-30 20:00:00,118.01076666551828
22,2024-04-30 21:00:00,113.29645060506462
23,2024-04-30 22:00:00,109.16526958027481
24,2024-04-30 23:00:00,105.390881691128
