spam_term,spam_weight,ham_term,ham_weight
<number>,8.445036116386046,i,-4.021584163953174
<phone>,7.678873965627341,my,-1.9054343453264544
<url>,4.940670090649563,me,-1.8760639752494341
to <number>,4.51690212048691,but,-1.6717288550799025
txt,4.194252653196052,ok,-1.5355424340385704
<currency>,4.064481011227302,then,-1.3583649620224256
free,3.980723040284722,that,-1.3298217603128821
<currency> <number>,3.9337304502154935,got,-1.2733342970843566
call <phone>,3.906570784448589,good,-1.2637170585279456
your,3.7230901223139634,i'm,-1.2622618273847872
reply,3.6124411620790355,in,-1.228837523126493
text,3.588094304620951,home,-1.2120426013078713
call,3.472593150254105,da,-1.192519589403176
!,3.434709333129207,at,-1.0851568499213196
stop,3.2573077067482834,come,-1.0798461807041089
mobile,3.076663409991094,k,-1.0504798556904849
to,2.9175569488709643,i'll,-1.043095796446022
150p,2.8334443490422183,well,-1.0309834843947965
ringtone,2.8251110522180403,it,-1.0296715583177105
from,2.6833410803758797,he,-1.027612225717481
uk,2.629802813558233,not,-0.9925708946195356
service,2.4678509974112246,lor,-0.9849569670160939
with,2.4123600558461584,going,-0.9845635880374053
msg,2.382160575110804,at <number>,-0.9672281740802273
sms,2.357060772794462,its,-0.9635461659808326
