word,expected_topic,same_topic_neighbors,neighbors_evaluated,purity_at_k
neural,artificial_intelligence,5,5,1.0
network,artificial_intelligence,5,5,1.0
model,artificial_intelligence,5,5,1.0
algorithm,artificial_intelligence,5,5,1.0
training,artificial_intelligence,5,5,1.0
data,artificial_intelligence,5,5,1.0
language,artificial_intelligence,2,5,0.4
token,artificial_intelligence,5,5,1.0
embedding,artificial_intelligence,5,5,1.0
vector,artificial_intelligence,5,5,1.0
semantic,artificial_intelligence,4,5,0.8
prediction,artificial_intelligence,5,5,1.0
learning,artificial_intelligence,5,5,1.0
machine,artificial_intelligence,5,5,1.0
context,artificial_intelligence,4,5,0.8
feature,artificial_intelligence,5,5,1.0
inference,artificial_intelligence,5,5,1.0
classification,artificial_intelligence,5,5,1.0
sequence,artificial_intelligence,5,5,1.0
representation,artificial_intelligence,5,5,1.0
stock,finance,5,5,1.0
equity,finance,5,5,1.0
bond,finance,5,5,1.0
portfolio,finance,5,5,1.0
market,finance,5,5,1.0
trading,finance,5,5,1.0
risk,finance,5,5,1.0
return,finance,3,5,0.6
investment,finance,5,5,1.0
asset,finance,5,5,1.0
volatility,finance,5,5,1.0
price,finance,5,5,1.0
capital,finance,5,5,1.0
fund,finance,5,5,1.0
dividend,finance,5,5,1.0
investor,finance,5,5,1.0
security,finance,5,5,1.0
profit,finance,5,5,1.0
loss,finance,4,5,0.8
forecast,energy,3,5,0.6
doctor,healthcare,4,5,0.8
physician,healthcare,5,5,1.0
patient,healthcare,5,5,1.0
hospital,healthcare,5,5,1.0
clinic,healthcare,5,5,1.0
diagnosis,healthcare,5,5,1.0
treatment,healthcare,3,5,0.6
medicine,healthcare,4,5,0.8
symptom,healthcare,5,5,1.0
disease,healthcare,5,5,1.0
nurse,healthcare,5,5,1.0
health,healthcare,5,5,1.0
clinical,healthcare,5,5,1.0
therapy,healthcare,4,5,0.8
medical,healthcare,5,5,1.0
care,healthcare,5,5,1.0
recovery,healthcare,5,5,1.0
research,healthcare,5,5,1.0
prescription,healthcare,5,5,1.0
surgery,healthcare,5,5,1.0
electricity,energy,5,5,1.0
power,energy,5,5,1.0
grid,energy,4,5,0.8
solar,energy,5,5,1.0
wind,energy,4,5,0.8
battery,energy,5,5,1.0
renewable,energy,4,5,0.8
demand,energy,5,5,1.0
load,energy,5,5,1.0
consumption,energy,5,5,1.0
storage,energy,5,5,1.0
energy,energy,5,5,1.0
generator,energy,4,5,0.8
utility,energy,3,5,0.6
voltage,energy,5,5,1.0
current,energy,5,5,1.0
capacity,energy,5,5,1.0
efficiency,energy,4,5,0.8
carbon,energy,5,5,1.0
quality,quality_manufacturing,5,5,1.0
defect,quality_manufacturing,5,5,1.0
failure,quality_manufacturing,5,5,1.0
inspection,quality_manufacturing,5,5,1.0
process,quality_manufacturing,4,5,0.8
control,quality_manufacturing,5,5,1.0
root,quality_manufacturing,5,5,1.0
cause,quality_manufacturing,5,5,1.0
yield,quality_manufacturing,5,5,1.0
manufacturing,quality_manufacturing,5,5,1.0
supplier,quality_manufacturing,5,5,1.0
improvement,quality_manufacturing,4,5,0.8
product,quality_manufacturing,5,5,1.0
test,quality_manufacturing,5,5,1.0
measurement,quality_manufacturing,5,5,1.0
analysis,quality_manufacturing,2,5,0.4
reliability,quality_manufacturing,4,5,0.8
customer,quality_manufacturing,5,5,1.0
production,quality_manufacturing,5,5,1.0
standard,quality_manufacturing,5,5,1.0
